FleetName,Description,ExpertGroup
OTT-CRU,,WGDEEP
OTT-DEF,,WGDEEP
OTT-DWS,,WGDEEP
PS_SPF_0_0_0,,WGDEEP
PTB_MPD,,WGDEEP
SDN_DEF,,WGDEEP
SSC_DEF,,WGDEEP
PS_SPF_0_0_0,,WGHANSA
C-Allgears,,WGCSE
FPO_CRU_0_0_0_all,,WGCSE
FRATRB_IV,,WGCSE
GNS_DEF_>=220_0_0_all,,WGCSE
GNS_DEF_>=220_0_0_all_FDF,,WGCSE
GNS_DEF_100-119_0_0_all,,WGCSE
GNS_DEF_100-119_0_0_all_FDF,,WGCSE
GNS_DEF_120-219_0_0_all,,WGCSE
GNS_DEF_120-219_0_0_all_FDF,,WGCSE
GNS_DEF_all_0_0_all,,WGCSE
GTR_DEF_all_0_0_all,,WGCSE
LLS_FIF_0_0_0_all,,WGCSE
LLS_FIF_0_0_0_all_FDF,,WGCSE
MIS_MIS_0_0_0_HC,,WGCSE
MIS_MIS_0_0_0_HC_FDF,,WGCSE
MIS_MIS_0_0_0_IBC,,WGCSE
OTB_CRU_16-31_0_0_all,,WGCSE
OTB_CRU_32-69_0_0_all,,WGCSE
OTB_CRU_32-69_2_22_all,,WGCSE
OTB_CRU_70-89_2_35_all,,WGCSE
OTB_CRU_70-99_0_0_all,,WGCSE
OTB_CRU_70-99_0_0_all_FDF,,WGCSE
OTB_CRU_90-119_0_0_all,,WGCSE
OTB_CRU_90-119_0_0_all_FDF,,WGCSE
OTB_DEF,,WGCSE
OTB_DEF_>=120_0_0_all,,WGCSE
OTB_DEF_>=120_0_0_all_FDF,,WGCSE
OTB_DEF_100-119_0_0_all,,WGCSE
OTB_DEF_70-99_0_0_all,,WGCSE
OTB_DWS_>=120_0_0_all,,WGCSE
OTB_MOL_70-99_0_0_all,,WGCSE
OTB_SPF_32-69_0_0_all,,WGCSE
SDN_all_0_0_all,,WGCSE
SDN_DEF_>=120_0_0_all,,WGCSE
SDN_DEF_>=120_0_0_all_FDF,,WGCSE
SDN_DEF_70-99_0_0_all,,WGCSE
SSC_DEF_>=120_0_0_all,,WGCSE
SSC_DEF_100-119_0_0_all,,WGCSE
SSC_DEF_70-99_0_0_all,,WGCSE
TBB_CRU_16-31_0_0_all,,WGCSE
TBB_DEF_>=120_0_0_all,,WGCSE
TBB_DEF_100-119_0_0_all,,WGCSE
TBB_DEF_70-99_0_0_all,,WGCSE
All,All the fleets that capture the target species ,WGWIDE
ES-ALL                                                      ,Fleet for total Spanish mackerel fleet,WGWIDE
GNS_DEF,,WGWIDE
GNS_DEF_60-79_0_0,,WGWIDE
GNS_DEF_80-99_0_0,,WGWIDE
